arm,dedup_id,decision,rationale,auto_verdict,auto_reason,title,year,venue
original,REC-358,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Trip Based Modeling of Fuel Consumption in Modern Heavy-Duty Vehicles Using Artificial Intelligence,2021,Energies
update-2026,REC-011,READMIT,"Physics-informed LSTM predicting marine gas-turbine output power; ""microgrid"" is context, not topic",EXCLUDE,E5:microgrid,Power Prediction for Marine Gas Turbine Plants Using a Condition-Adaptive Physics-Informed LSTM Model,2026,Journal of Marine Science and Engineering
update-2026,REC-019,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Surrogate Modeling of a SOFC/GT Hybrid System Based on Extended State Observer Feature Extraction,2026,Energies
update-2026,REC-075,KEEP,no inclusion signals on review,EXCLUDE,E1:route optimization,The Practice and Challenges of Digital Technology in Ship Energy Efficiency Management,2026,Frontiers in Sustainable Development
update-2026,REC-078,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Robust Fault Diagnosis of Hydraulic Pumps Under Variable Load: A Machine Learning Approach with Signal Conditioning,2026,Applied Sciences
update-2026,REC-094,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Work-Life Conditions as the Primary Determinant of Seafarer Mental Health: An Explainable Machine Learning Analysis,2026,INQUIRY The Journal of Health Care Organization Provision and Financing
update-2026,REC-096,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Physics-encoded machine learning for performance and emission prediction of nickel ferrite nanocatalyst and hydrogen-enriched biodiesel in diesel engines,2026,RSC Advances
update-2026,REC-097,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Review of Fault Diagnosis Methods: From Traditional Machine Learning to Large Language Model Fusion Paradigm,2026,Sensors
update-2026,REC-102,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Simulation of Diesel Engine Properties Using Different Mixtures of Fuels by Means of a Feed-Forward Neural Network: 1. Validation and Prediction of Energetical Parameters,2026,Energies
update-2026,REC-104,KEEP,no inclusion signals on review,EXCLUDE,E1:berthing,A Spatiotemporal Feature-Driven Deep Learning Framework for Fine-Grained Tugboat Operation Recognition,2026,Systems
update-2026,REC-112,KEEP,no inclusion signals on review,EXCLUDE,E1:structural integrity,A Machine Learning Framework for the Prediction of Propeller Blade Natural Frequencies,2026,Machines
update-2026,REC-123,KEEP,no inclusion signals on review,EXCLUDE,E5:wind farm,Short-to-Medium Term Ocean Wind Speed Prediction via Sparse Grid Dynamic Spatial Modeling and DAI-LSTM-AT Hybrid Framework,2026,Remote Sensing
update-2026,REC-142,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Hybrid Physics-Informed ML Framework for Emission and Energy Flow Prediction in a Retrofitted Heavy-Duty Vehicle,2026,Algorithms
update-2026,REC-146,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Fused Geophysical–Contrastive Learning Model for CYGNSS-Based Sea Surface Wind Speed Retrieval in Typhoon Regions,2026,Journal of Marine Science and Engineering
update-2026,REC-147,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Bayesian Hyperparameter Optimization of GRU and LSTM Models for Short-Term Traffic Flow Prediction: A Case Study of Globe Roundabout in Saudi Arabia,2026,Applied System Innovation
update-2026,REC-159,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Attention-based neural network fusion for fouling prediction in Ethylene-Vinyl Acetate heat exchangers,2026,Process Safety and Environmental Protection
update-2026,REC-182,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A physics-informed data-driven surrogate model for efficient fatigue damage prediction of offshore structures,2026,Journal of Physics Conference Series
update-2026,REC-188,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Optimization of a common rail direct injection engine fuelled with gossypium seed biodiesel–tert‐butyl alcohol blends using Taguchi–Grey relational analysis and <scp>ANN</scp>,2026,Environmental Progress & Sustainable Energy
update-2026,REC-190,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Multi-Attention Gated Fusion and Physics-Informed Model for Steam Turbine Regulating-Stage Fault Detection,2026,Energies
update-2026,REC-212,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Health-Aware Differentiated Energy Management for Multi-Stack Fuel Cell Hybrid Power Systems on Ships,2026,Journal of Marine Science and Engineering
update-2026,REC-215,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Rowing load and performance modeling by integrating random forest algorithm,2026,Discover Computing
update-2026,REC-270,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Data-Driven Operational Assessment Method and Digital Twin System for Unmanned Surface Vehicles,2026,ICCK Transactions on Machine Intelligence
update-2026,REC-273,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Multidata Causal Discovery for Statistical Hurricane Intensity Forecasting,2026,Weather and Forecasting
update-2026,REC-303,KEEP,no inclusion signals on review,EXCLUDE,E1:port scheduling,Prediction of Ship Estimated Time of Arrival Based on BO-CNN-LSTM Model,2026,Journal of Marine Science and Engineering
update-2026,REC-344,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,ShipNet: A Geometric Deep Learning Surrogate for Real-Time Ship Hydrodynamics,2026,arXiv (Cornell University)
update-2026,REC-346,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Supervised machine learning of compressible flow past a rotating cylinder,2026,arXiv (Cornell University)
original,REC-068,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Predicting Rig Engine Utilization Using Machine Learning to Drive Fleet-Wide Emissions Reductions Initiatives,2023,"Day 3 Wed, October 18, 2023"
original,REC-078,KEEP,no inclusion signals on review,EXCLUDE,E5:patient,"Leveraging Data to Improve Operational Efficiency: Case Studies in Healthcare, Transportation, and Logistics",2025,Journal of Quantum Science and Technology
original,REC-100,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Marine Engine-Centered Data Analytics for Ship Performance Monitoring,2017,
original,REC-103,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Improving Voyage Efficiency in the Shipping 4.0 Decarbonization Era,2023,International Symposium on Service Oriented Software Engineering
original,REC-118,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Maritime-Accident-Induced Environmental Pollution and Economic Loss Analysis Using an Interpretable Data-Driven Method,2025,Sustainability
original,REC-159,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Added Resistance and Speed Loss of a Ship Found Using Onboard Monitoring Data,2020,Journal of Ship Research
original,REC-258,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Harnessing the power of Machine learning for AIS Data-Driven maritime Research: A comprehensive review,2024,Transportation Research Part E Logistics and Transportation Review
original,REC-326,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A hybrid forecasting framework based on support vector regression with a modified genetic algorithm and a random forest for traffic flow prediction,2018,Tsinghua Science & Technology
original,REC-349,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Road2Vec: Measuring Traffic Interactions in Urban Road System from Massive Travel Routes,2017,ISPRS International Journal of Geo-Information
original,REC-404,KEEP,no inclusion signals on review,EXCLUDE,E1:motion prediction,Deep Autoregressive Roll Motion Prediction of Marine Vessels,2024,IEEE Transactions on Industrial Electronics
original,REC-472,KEEP,no inclusion signals on review,EXCLUDE,E1:trajectory prediction,Ship Anomalous Behavior Detection Using Clustering and Deep Recurrent Neural Network,2023,Journal of Marine Science and Engineering
original,REC-548,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Research of Ship Trajectory and Navigation Behavior Characteristics Based on CALS Algorithm,2024,"2024 International Seminar on Artificial Intelligence, Computer Technology and Control Engineering (ACTCE)"
update-2026,REC-028,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Global shipping emissions prediction in the era of large language models: a review,2026,Frontiers in Marine Science
update-2026,REC-043,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Data-driven decarbonization in the maritime industry: An integrative analytical review,2026,Communications in Transportation Research
update-2026,REC-055,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Quantitative Assessment of Consistency Between IMO DCS and EU MRV Systems Using Large-Scale Operational Data,2026,Preprints.org
update-2026,REC-056,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Quantitative Assessment of Consistency Between IMO DCS and EU MRV Frameworks Using Large-Scale Operational Data,2026,Applied Sciences
update-2026,REC-059,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Digital Twin-Enabled Thermal Energy Management System for Sustainable Manufacturing Process Optimization,2026,International Journal of Industrial Engineering and Management
update-2026,REC-082,KEEP,no inclusion signals on review,EXCLUDE,E5:battery degradation,Energy Management Strategies and Capacity Sizing for Hybrid Ship Systems,2026,Energies
update-2026,REC-130,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,AI-Driven Energy Management for Sustainable Transformation of Recreational Boats: A Simulation Study for the Croatian Adriatic Coast,2026,Applied Sciences
update-2026,REC-153,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Integrating Artificial Intelligence into Naval Capability Development,2026,TransNav the International Journal on Marine Navigation and Safety of Sea Transportation
update-2026,REC-158,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Remote Sensing-Based Mapping of Forest Above-Ground Biomass and Its Relationship with Bioclimatic Factors in the Atacora Mountain Chain (Togo) Using Google Earth Engine,2026,Geomatics
update-2026,REC-162,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Physics-Informed Multi-Task Learning for Battery State of Health Prediction with Uncertainty Quantification,2026,Proceedings of the AAAI Conference on Artificial Intelligence
update-2026,REC-176,KEEP,"Simulator/hydrodynamic software comparison, no ML (E2)",EXCLUDE,E3:no-ML-method,Propagation of weather forecast uncertainties through attainable ship speed prediction models,2026,Engineering power
update-2026,REC-198,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Environment-specific, data-driven radiation source detection, localization and tracking via a sensor network and ensembles of randomized decision trees",2026,Research Square
update-2026,REC-199,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Fuel-Saving Control Strategy for Tugboats Based on Multi-Objective Optimization,2026,Applied Sciences
update-2026,REC-220,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Health status monitoring of ship rotating machinery based on sliding window and long-short term generative adversarial network,2026,Frontiers in Mechanical Engineering
update-2026,REC-228,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"Forecasting Educational Inequality in China for Sustainable Development: A Hybrid Framework of GM(1,1) and CS-SVR",2026,Sustainability
update-2026,REC-230,KEEP,no inclusion signals on review,EXCLUDE,E1:trajectory prediction,Distributed Interactive Simulation Dead Reckoning Based on PLO–Transformer–LSTM,2026,Electronics
update-2026,REC-233,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Deep Learning-Based Bias Correction Model for Spatiotemporal Significant Wave Height Prediction Using Multi-Channel VMRNN,2026,Oceans
update-2026,REC-239,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,A Hybrid DMD–TCN Framework for Interpretable Short-Horizon Prediction of 6-DOF Ship Motions,2026,International Journal of Advanced Computer Science and Applications
update-2026,REC-265,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Research on Trajectory Tracking Control of USV Based on Disturbance Observation Compensation,2026,Journal of Marine Science and Engineering
update-2026,REC-299,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,An Enhanced Digital Twin-Driven Fault Diagnosis Approach Based on Deep Multimodal Information Fusion for Marine Machinery,2026,IEEE Sensors Journal
update-2026,REC-300,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Qualitative&Quantitative Meta Graph Transformer for Marine Diesel Engine Health Monitoring,2026,2026 IEEE International Conference on Prognostics and Health Management (ICPHM)
update-2026,REC-321,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Information system for monitoring data from heat energy meters based on the internet of things technology,2026,Technical sciences and technologies
update-2026,REC-337,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Mapping forest felling activities in Latvia from Sentinel-2 satellite imagery using machine learning,2026,Lund University Publications Student Papers (Lund University)
update-2026,REC-340,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Maidenvälisen siirto-oppimisen hyödyntäminen ESG-luokituksien ennustamisessa,2026,LUTPub (LUT University)
update-2026,REC-342,KEEP,"Core is RL routing policy, not performance prediction (E1 routing)",EXCLUDE,E5:aircraft,Physics-informed offline reinforcement learning eliminates catastrophic fuel waste in maritime routing,2026,arXiv (Cornell University)
update-2026,REC-345,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Experimental Data-Driven System Identification of Scale-Model Airboat Dynamics for Control and Autonomy Applications,2026,ScholarWorks @ The University of New Orleans (The University of New Orleans)
update-2026,REC-347,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,On Using Machine Learning to Early Detect Catastrophic Failures in Marine Diesel Engines,2026,arXiv (Cornell University)
original,REC-061,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Estimating the Reliability and Predicting Damage to Ship Engine Fuel Systems Using Statistics and Artificial Intelligence,2025,Applied Sciences
original,REC-083,KEEP,no inclusion signals on review,EXCLUDE,E5:urban traffic,AI for Traffic Prediction and Management,2024,"REST Journal on Banking, Accounting and Business"
original,REC-086,KEEP,no inclusion signals on review,EXCLUDE,E1:route optimization,Integrated Ship Energy Flowchart: A digital twin to mitigate GHG emissions,2023,"Day 1 Tue, March 07, 2023"
original,REC-101,READMIT,"ML approaches for ship speed prediction; rule missed because abstract lacks the exact phrase ""speed prediction""",EXCLUDE,E1:non-performance-topic,Machine Learning Approaches for Ship Speed Prediction towards Energy Efficient Shipping,2020,Applied Sciences
original,REC-113,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Data-Driven Air-Cooled Condenser Performance Assessment: Model and Input Variable Selection Comparison,2020,E3S Web of Conferences
original,REC-117,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Relief-Based Feature Selection for ANN-Driven Air Pollution Prediction and School Safety Policy in India,2025,"Water, Air and Soil Pollution"
original,REC-142,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,FEATURES OF POWER DETERMINATION OF AUXILIARY-EMERGENCY DRIVE MOTION OF A SHIP WITH A COMBINED DIESEL-ELECTRIC POWER PLANT,2020,Electromechanical and energy saving systems
original,REC-144,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,IMPROVED ALGORITHM FOR SUPERVISORY CONTROL AND DATA ACQUISITION OF COMBINED VESSEL’S ENERGY SYSTEM,2020,Herald of Advanced Information Technology
original,REC-196,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Intent prediction of vessels in intersection waterway based on learning vessel motion patterns with early observations,2021,Ocean Engineering
original,REC-243,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"The Role of AI, Machine Learning, and Big Data in Digital Twinning: A Systematic Literature Review, Challenges, and Opportunities",2021,IEEE Access
original,REC-269,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Explainable Anomaly Detection Framework for Maritime Main Engine Sensor Data,2021,Sensors
original,REC-280,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Data-Driven-Based Fault Diagnosis Approach for Electrical Power DC-DC Inverter by Using Modified Convolutional Neural Network With Global Average Pooling and 2-D Feature Image,2020,IEEE Access
original,REC-354,READMIT,Combined physical + ML diesel engine performance prediction (condition-monitoring sub-cluster in scope),EXCLUDE,E3:no-ML-method,Ship diesel engine performance modelling with combined physical and machine learning approach,2018,Proceedings of the International Ship Control Systems Symposium (iSCSS)
