run_number,date,database,string_id,string_label,raw_hits,records_retrieved,notes
11,2026-04-17,arXiv,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",6,2,
12,2026-04-17,arXiv,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",1,1,
13,2026-04-17,Scopus,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",63,63,
14,2026-04-17,Scopus,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",25,25,
15,2026-04-17,Scopus,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",48,48,
16,2026-04-17,Scopus,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",40,40,
17,2026-04-17,IEEE Xplore,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",7,7,
18,2026-04-17,IEEE Xplore,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",10,10,
19,2026-04-17,IEEE Xplore,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",11,11,
20,2026-04-17,IEEE Xplore,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",21,21,
